kepid,label,pl_orbper
5952403,false_positive,0.905677864
5217733,false_positive,161.2529031
3836439,false_positive,1.540395674
9851142,false_positive,8.480304281
5108214,false_positive,2.11913005
4150611,false_positive,8.653098686
8738244,false_positive,0.683082998
3644542,false_positive,119.67980316
8560861,false_positive,31.973311701
11709006,false_positive,0.719741
7022603,false_positive,21.12752693
3230227,false_positive,7.047106212
4832225,false_positive,0.947730124
4373195,false_positive,0.56256804
2970804,false_positive,0.686994057
5200084,false_positive,2.9039446
9641031,false_positive,1.089077111
7090801,false_positive,548.08441
4565985,false_positive,17.51191534
9246715,false_positive,342.55315723
3858884,false_positive,25.95193721
6946985,false_positive,440.584562
10230571,false_positive,123.11494773
11913071,false_positive,3.747835042
10031808,false_positive,8.589644815
12366681,false_positive,13.33386985
2696703,false_positive,6.09406648
5980354,false_positive,1.573020098
6182093,false_positive,297.113395
7219761,false_positive,47.76397728
9405541,false_positive,5.55260695
11560431,false_positive,0.527673075
10614012,false_positive,132.1331011
4565943,false_positive,353.36705
3441784,false_positive,52.56901867
5111801,false_positive,0.562006231
7779942,false_positive,19.7959731
8848288,false_positive,5.56648691
11231334,false_positive,4.15743922
3967501,false_positive,43.0759115
5732636,false_positive,32.245486
5790807,false_positive,79.99623328
3834317,false_positive,2.18079098
4035667,false_positive,2.8736467
9752973,false_positive,0.716709761
6864569,false_positive,2.325185422
3459199,false_positive,1.570518376
3848948,false_positive,0.523632451
6049470,false_positive,354.7897
8916492,false_positive,4.02378908
11285625,false_positive,5.39525573
4732015,false_positive,0.938857507
8846809,false_positive,0.778705577
6525196,false_positive,1.710299164
5598639,false_positive,0.648775795
6610433,false_positive,0.92098747
7116117,false_positive,0.566801886
10389280,false_positive,375.408923
8766285,false_positive,5.29730786
8179973,false_positive,2.49705175
10991989,false_positive,0.974477904
5094301,false_positive,0.99519559
8552540,false_positive,0.530967171
3127911,false_positive,0.542498653
10156064,false_positive,2.427967843
12167361,false_positive,47.93094546
